youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
7DDyMbbmYUo,https://www.youtube.com/watch?v=7DDyMbbmYUo,הדרכת רכיבת חולות עם זיו כרמי -  Ktm 990 Adv. Ktm 890 rally - HD - GoPro9,"Ron Izraelly - Driving, riding, racing !",he,sand,2013,public,True,66,True,0,True,,False,False,1,rejected,no_chapters_or_captions_for_content_evidence
odXtBADnmpQ,https://www.youtube.com/watch?v=odXtBADnmpQ,חוצה ישראל אדוונצ'ר 2020   מלא,Tal Amir - טל עמיר,he,obstacles,2641,public,True,64,True,0,True,,False,False,1,rejected,no_chapters_or_captions_for_content_evidence
VqfGdbhAWJ4,https://www.youtube.com/watch?v=VqfGdbhAWJ4,9 Motorcycle Fears You Should'nt Worry About (Pro Tips),The Motorcycle Brain,en,rain,516,public,True,2096,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,8,eligible_for_content_review,caption_tracks=157; professional_source_signal
hJE4in5KRv0,https://www.youtube.com/watch?v=hJE4in5KRv0,ילדים חסרי שכל על אופניים חשמליים בתל אביב,Two wheels life,he,urban_hazards,26,public,True,0,True,0,True,,False,False,0,rejected,too_short_for_release_depth; description_missing; no_chapters_or_captions_for_content_evidence
8fmsajHZLKk,https://www.youtube.com/watch?v=8fmsajHZLKk,I Took a KTM Duke 200 Off Road Where Only Adventure Bikes Should Go,Wanderlust Revs,en,gravel,863,public,True,1314,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,6,eligible_for_content_review,caption_tracks=157
6ynYOU6NQW4,https://www.youtube.com/watch?v=6ynYOU6NQW4,קורס רכיבה קוסטאס למאריס 1993 אופנועי שטח,guy radar,he,mud,1401,public,True,667,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,6,eligible_for_content_review,caption_tracks=157
TJwQtibtuAo,https://www.youtube.com/watch?v=TJwQtibtuAo,זיו תקוע בבוץ,דוד כהן,en,recovery,69,public,True,0,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,3,rejected,description_missing
UaxuuvJdF88,https://www.youtube.com/watch?v=UaxuuvJdF88,איבוד בלמים בזמן נסיעה,הרשות הלאומית לבטיחות בדרכים,he,safety_body,104,public,True,138,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,6,eligible_for_content_review,caption_tracks=157; professional_source_signal
wMtkexgMuhQ,https://www.youtube.com/watch?v=wMtkexgMuhQ,מתיחת שרשרת באופנוע - ורסיס 300,Versys 300 - Israel,he,maintenance,262,public,True,121,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
18Sp8mi_91w,https://www.youtube.com/watch?v=18Sp8mi_91w,טיפול ברוכב אופנוע שהתהפך בנחל משק,חלצ יחידות החילוץ,he,lifting,25,public,True,35,True,0,True,,False,False,1,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
