youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
dF9KY2w7dmY,https://www.youtube.com/watch?v=dF9KY2w7dmY,מדריך טכני: ניקוי ושימון שרשרת הינע,FullgaZ Magazine,he,maintenance,214,public,True,38,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,7,eligible_for_content_review,caption_tracks=157; professional_source_signal
WhYwXyRsABA,https://www.youtube.com/watch?v=WhYwXyRsABA,בטיחות בהפעלת אופנוע ים, Ministry of Transport and Road Safety,he,water_crossing,1270,public,True,1070,True,6,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh|zh-CN|zh-Hans|zh-Hant|zu,False,True,10,eligible_for_content_review,youtube_chapters=6; caption_tracks=159; professional_source_signal
DOnHrnnnrt8,https://www.youtube.com/watch?v=DOnHrnnnrt8,בדיקת קטנוע לפני קנייה - כל הטיפים לקניית אופנוע,אתר מידרג,he,pre_ride,223,public,True,401,True,0,True,iw,False,False,6,eligible_for_content_review,caption_tracks=1
YHhXoBwO_hc,https://www.youtube.com/watch?v=YHhXoBwO_hc,תרום תחת עייפות 16/5/2026,הגלסים ( אור + אילן גלס ),he,fatigue,1645,public,True,0,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,4,rejected,description_missing
DEek-peTQ6k,https://www.youtube.com/watch?v=DEek-peTQ6k,ציוד מיגון לרוכבי אופנועי שטח,טל סנדרוני,he,protective_gear,64,public,True,225,True,0,True,,False,False,1,rejected,no_chapters_or_captions_for_content_evidence
zm1MR16FaC4,https://www.youtube.com/watch?v=zm1MR16FaC4,האם זה מסוכן לרכב בצורה חוקית?,SobeR RideR,he,urban_hazards,770,public,True,1304,True,7,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,8,eligible_for_content_review,youtube_chapters=7; caption_tracks=157
GJoXwRfem-c,https://www.youtube.com/watch?v=GJoXwRfem-c,טיול אופנועים בצפון-כרכום עד בית הילל - בהובלת הגר קרפפן,משה טיולי שטח Moto Tours,he,navigation,211,public,True,37,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|en-orig|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,False,5,rejected,title_indicates_non_instructional_or_promotional_content
R2_2Pdd-QCg,https://www.youtube.com/watch?v=R2_2Pdd-QCg,קורס רכיבת אופנוע אדוונצ'ר- סקירת שוק,ADV Moto Life,he,channel_seed,219,public,True,175,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
UMdUg4zfh2g,https://www.youtube.com/watch?v=UMdUg4zfh2g,טיפ: איך לבחור קסדה נכונה לרוכב אופנוע או קטנוע?,ProRiding Israel,he,group_riding,381,public,True,286,True,0,True,,False,True,4,rejected,no_chapters_or_captions_for_content_evidence
e8w0uYHGCWs,https://www.youtube.com/watch?v=e8w0uYHGCWs,תנוחת רכיבה על אופנוע,ProRiding Israel,he,basics,153,public,True,454,True,0,True,,False,True,5,rejected,no_chapters_or_captions_for_content_evidence
